model_portfolio_key,date,quote
liqid_global_var,2007-10-31,1.0002187272533285
liqid_global_var,2007-11-30,0.9565314924642245
liqid_global_var,2007-12-31,0.9511616538676086
liqid_global_var,2008-01-31,0.8892879127990808
liqid_global_var,2008-02-29,0.8749884135948761
liqid_global_var,2008-03-31,0.8358508104204645
liqid_global_var,2008-04-30,0.8797997188125166
liqid_global_var,2008-05-31,0.8891777735473895
liqid_global_var,2008-06-30,0.8244572718063413
liqid_global_var,2008-07-31,0.818929232874944
liqid_global_var,2008-08-31,0.8484209872437466
liqid_global_var,2008-09-30,0.7910434484682711
liqid_global_var,2008-10-31,0.7124486416675803
liqid_global_var,2008-11-30,0.6787144975000043
liqid_global_var,2008-12-31,0.6488280314576894
liqid_global_var,2009-01-31,0.6500298630929451
liqid_global_var,2009-02-28,0.6081481489881856
liqid_global_var,2009-03-31,0.6236300656988921
liqid_global_var,2009-04-30,0.6856844030266698
liqid_global_var,2009-05-31,0.6979350785320846
liqid_global_var,2009-06-30,0.7042973254017344
liqid_global_var,2009-07-31,0.7443539262882632
liqid_global_var,2009-08-31,0.7629000815783817
liqid_global_var,2009-09-30,0.7790673481583791
liqid_global_var,2009-10-31,0.7680099766446286
liqid_global_var,2009-11-30,0.7823131089090799
liqid_global_var,2009-12-31,0.8256546102748029
liqid_global_var,2010-01-31,0.8232783668525995
liqid_global_var,2010-02-28,0.8443671366063941
liqid_global_var,2010-03-31,0.8933837428079636
liqid_global_var,2010-04-30,0.9127283983138252
liqid_global_var,2010-05-31,0.9026816722516489
liqid_global_var,2010-06-30,0.8852043206779661
liqid_global_var,2010-07-31,0.8908367135673444
liqid_global_var,2010-08-31,0.8904535156435857
liqid_global_var,2010-09-30,0.8989699043964967
liqid_global_var,2010-10-31,0.9083114658173645
liqid_global_var,2010-11-30,0.9456009979082376
liqid_global_var,2010-12-31,0.9702794572990256
liqid_global_var,2011-01-31,0.9640998101493279
liqid_global_var,2011-02-28,0.9797893352815543
